event_start, event_dt, event_stats[0], event_stats[1], event_stats[2]
799505,35,2582,46606,999395
799571,69,3235,40252,451769
799786,4,1,11,105
799798,42,3411,67459,1385849
799865,90,3544,41267,481559
799985,10,1341,38940,541961
800083,57,6752,140140,2990683
800155,112,3926,50761,583738
800270,40,3507,67784,1147104
800364,254,18568,325800,5729944
800621,8,24,280,1092
800676,77,9923,180886,3506805
800759,94,3350,47188,713415
800856,81,5551,91254,1769045
800975,26,1050,43729,707112
801011,184,15718,270863,4046519
801223,27,1048,43753,747467
801261,180,13773,271846,4516137
801469,26,1009,41464,682066
801506,183,14490,256954,3982219
801716,26,1050,44097,743060
801753,180,13435,234834,3889577
801963,26,1015,44192,690445
801999,183,14495,230682,3723843
802209,26,1069,46865,767540
802248,179,14046,248096,3632132
802455,26,1048,42827,727158
802492,153,10825,161251,2348478
802655,80,5133,134783,2147113
802769,77,5056,75724,1067994
802950,17,896,35031,317273
802974,2,2,14,52
802987,181,15592,250004,3723537
803196,27,1318,47312,801329
803232,46,4139,60108,1002352
803280,135,9595,235739,6187529
803442,26,1416,49145,699575
803478,184,14420,236698,3729608
803690,26,1000,37420,661476
803726,182,15225,261897,4335830
803935,26,1209,47024,723982
803972,183,15255,251024,3904399
804183,26,1081,46704,772315
804219,183,15613,278295,4503113
804429,26,1460,48180,725501
804465,184,14144,253964,4691093
804676,27,1059,44535,769602
804713,182,15008,258661,4135137
804922,26,1049,44235,735478
804959,124,11187,148609,2077916
805094,48,4706,119549,2462605
805169,27,1047,44281,751491
805206,182,14822,253543,4188456
805416,25,1050,44781,755208
805452,183,15324,259586,4042298
805638,10,32,395,2012
805663,27,1091,46690,788980
805699,182,15032,261986,4275268
806065,9,12,147,570
806092,6,3,27,112
806174,6,7,55,203
806189,2,3,22,79
806214,4,1,7,25
806224,9,9,75,289
806253,12,39,632,3174
806273,15,28,491,2834
806342,11,29,516,2629
806397,11,42,422,1894
806432,9,13,168,949
806459,9,44,549,2897
806598,5,32,276,1016
806638,5,3,22,79
806656,3,1,8,28
806824,10,285,2720,10486
806849,9,23,226,910
807025,3,2,17,66
807030,7,1,10,36
807040,5,41,387,1363
807066,6,17,151,559
807083,2,2,15,60
807265,3,1,8,26
807283,10,42,353,1295
807371,4,8,80,258
807528,16,286,2563,11240
807576,8,13,174,906
807757,7,407,3741,14253
807777,10,3,24,85
807840,9,13,137,581
